Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
si,había,1,15,0.06666666666666667
había,problema,1,1,1.0
problema,con,1,6,0.16666666666666666
con,eso?,1,23,0.043478260869565216
eso?,</s>,1,1,1.0
Pero,no,1,6,0.16666666666666666
no,puedo,1,25,0.04
puedo,hacer,1,11,0.09090909090909091
hacer,"nada,",1,8,0.125
"nada,",tengo,1,1,1.0
tengo,un,1,11,0.09090909090909091
un,evento,1,17,0.058823529411764705
evento,agendado,1,1,1.0
agendado,desde,1,1,1.0
desde,hace,1,1,1.0
hace,semanas,1,5,0.2
semanas,</s>,1,2,0.5
Le,voy,1,2,0.5
a,mandar,1,72,0.013888888888888888
mandar,mensaje,1,1,1.0
mensaje,ahorita,1,1,1.0
Yo,supuse,1,6,0.16666666666666666
supuse,"eso,",1,1,1.0
"eso,",por,1,2,0.5
eso,puse,1,7,0.14285714285714285
interfaz,que,1,2,0.5
que,agarre,1,97,0.010309278350515464
agarre,un,1,1,1.0
un,txt,1,17,0.058823529411764705
txt,</s>,1,1,1.0
me,comentó,1,19,0.05263157894736842
comentó,el,1,2,0.5
profe,que,1,6,0.16666666666666666
hay,problema,1,4,0.25
problema,que,1,6,0.16666666666666666
la,muestren,1,89,0.011235955056179775
muestren,ustedes,1,1,1.0
ustedes,dos,1,3,0.3333333333333333
dos,y,1,2,0.5
yo,la,1,8,0.125
la,muestro,1,89,0.011235955056179775
muestro,el,1,1,1.0
jueves,</s>,1,2,0.5
<s>,Aun,1,488,0.0020491803278688526
Aun,así,1,1,1.0
así,voy,1,2,0.5
a,hacer,1,72,0.013888888888888888
hacer,el,1,8,0.125
el,esfuerzo,1,59,0.01694915254237288
esfuerzo,de,1,1,1.0
de,ir,1,74,0.013513513513513514
ir,el,1,4,0.25
el,lunes,1,59,0.01694915254237288
lunes,</s>,1,2,0.5
<s>,Uy,1,488,0.0020491803278688526
Uy,que,1,1,1.0
que,equipazo,1,97,0.010309278350515464
equipazo,</s>,1,1,1.0
Emily,y,1,5,0.2
y,Rolón,1,60,0.016666666666666666
Según,yo,1,2,0.5
yo,es,1,8,0.125
genere,en,1,2,0.5
un,"pdf,",1,17,0.058823529411764705
"pdf,",no?,1,1,1.0
Según,lo,1,2,0.5
genere,el,1,2,0.5
pdf,de,1,2,0.5
de,esta,1,74,0.013513513513513514
esta,"manera,",1,6,0.16666666666666666
"manera,",no?,1,1,1.0
<s>,Ahí,1,488,0.0020491803278688526
Ahí,si,1,1,1.0
si,ya,1,15,0.06666666666666667
ya,no,1,25,0.04
se,jajaja,1,31,0.03225806451612903
jajaja,Creo,1,2,0.5
lo,mejor,1,31,0.03225806451612903
mejor,va,1,2,0.5
ser,preguntarle,1,3,0.3333333333333333
preguntarle,al,1,1,1.0
al,prof,1,14,0.07142857142857142
prof,a,1,2,0.5
a,ver,1,72,0.013888888888888888
ver,cómo,1,6,0.16666666666666666
cómo,lo,1,2,0.5
lo,quiere,1,31,0.03225806451612903
quiere,específicamente,1,6,0.16666666666666666
específicamente,</s>,1,1,1.0
Te,quedo,1,4,0.25
quedo,"chido,",1,2,0.5
"chido,",gracias,1,3,0.3333333333333333
Lo,revisamos,1,3,0.3333333333333333
revisamos,en,1,1,1.0
el,"laboratorio,",1,59,0.01694915254237288
