Term 1,Term 2,Term 3,frequency of trigram,frequency of context (bigram Term1 + Term2),probability of trigram
CATT,</s>,<s>,1,1,1.0
</s>,<s>,Mandaron,1,395,0.002531645569620253
<s>,Mandaron,las,1,1,1.0
Mandaron,las,fotos,1,1,1.0
las,fotos,al,1,1,1.0
fotos,al,grupo,1,1,1.0
al,grupo,de,1,1,1.0
grupo,de,TT,1,1,1.0
</s>,<s>,Donde,1,395,0.002531645569620253
<s>,Donde,</s>,1,1,1.0
Donde,</s>,<s>,1,1,1.0
</s>,<s>,esta,1,395,0.002531645569620253
<s>,esta,media,1,1,1.0
esta,media,escuela,1,1,1.0
media,escuela,JAJAJA,1,1,1.0
escuela,JAJAJA,</s>,1,1,1.0
<s>,Si,estan,1,69,0.014492753623188406
Si,estan,en,1,1,1.0
estan,en,la,1,1,1.0
la,escuela,pueden,1,4,0.25
escuela,pueden,confirmar,1,1,1.0
pueden,confirmar,pofavo,1,1,1.0
confirmar,pofavo,</s>,1,1,1.0
<s>,Ah,pipi,1,4,0.25
Ah,pipi,</s>,1,1,1.0
pipi,</s>,<s>,1,1,1.0
<s>,pero,en,1,3,0.3333333333333333
pero,en,ese,1,1,1.0
en,ese,grupo,1,1,1.0
ese,grupo,mandaron,1,1,1.0
grupo,mandaron,la,1,1,1.0
mandaron,la,foto,1,2,0.5
