Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
ir,viendo,1,6,0.16666666666666666
viendo,lo,1,1,1.0
lo,de,1,23,0.043478260869565216
cita,con,1,2,0.5
con,Edgardo,1,13,0.07692307692307693
Edgardo,</s>,1,2,0.5
Citlalli,sin,1,22,0.045454545454545456
sin,problemas,1,4,0.25
problemas,mañana,1,1,1.0
mañana,🫶,1,2,0.5
En,la,1,2,0.5
tarde,o,1,2,0.5
o,en,1,2,0.5
la,mañana?,1,53,0.018867924528301886
mañana?,</s>,1,1,1.0
Si,por,1,69,0.014492753623188406
por,mi,1,7,0.14285714285714285
mi,esta,1,14,0.07142857142857142
bien,</s>,1,16,0.0625
chicas,</s>,1,3,0.3333333333333333
estamos,listas?,1,2,0.5
listas?,</s>,1,1,1.0
Va,</s>,1,3,0.3333333333333333
<s>,por,1,396,0.0025252525252525255
por,donde,1,7,0.14285714285714285
donde,hacemos,1,3,0.3333333333333333
hacemos,la,1,1,1.0
la,llamada?,1,53,0.018867924528301886
llamada?,</s>,1,1,1.0
<s>,Diseño,1,396,0.0025252525252525255
Diseño,de,1,1,1.0
la,red,1,53,0.018867924528301886
red,neuronal,1,1,1.0
neuronal,convolucional,1,1,1.0
convolucional,</s>,1,1,1.0
<s>,Compilación,1,396,0.0025252525252525255
Compilación,del,1,1,1.0
<s>,entrenamiento,1,396,0.0025252525252525255
entrenamiento,del,1,1,1.0
<s>,Implementacion,1,396,0.0025252525252525255
Implementacion,del,1,1,1.0
del,front-end,1,5,0.2
front-end,</s>,1,1,1.0
Citlalli,jajajaajas,1,22,0.045454545454545456
jajajaajas,</s>,1,1,1.0
Se,nos,1,2,0.5
nos,acabo,1,7,0.14285714285714285
acabo,el,1,1,1.0
el,tiempo,1,27,0.037037037037037035
tiempo,jajana,1,3,0.3333333333333333
jajana,</s>,1,1,1.0
Yo,también,1,6,0.16666666666666666
también,Citlalli,1,8,0.125
Citlalli,jajaja,1,22,0.045454545454545456
Pero,bueno,1,13,0.07692307692307693
bueno,al,1,7,0.14285714285714285
menos,si,1,5,0.2
si,vimos,1,37,0.02702702702702703
vimos,todo,1,1,1.0
todo,jajaja,1,5,0.2
mily,claro,1,3,0.3333333333333333
claro,que,1,1,1.0
<s>,no,1,396,0.0025252525252525255
te,preocupes,1,9,0.1111111111111111
preocupes,</s>,1,1,1.0
nada,mily,1,7,0.14285714285714285
mily,</s>,1,3,0.3333333333333333
Si,"Citlalli,",1,69,0.014492753623188406
"Citlalli,",todavia,1,1,1.0
todavia,no,1,1,1.0
no,respnde,1,44,0.022727272727272728
respnde,pipipi,1,1,1.0
Voy,con,1,3,0.3333333333333333
con,amigo,1,13,0.07692307692307693
amigo,que,1,1,1.0
también,lo,1,8,0.125
lo,tiene,1,23,0.043478260869565216
tiene,de,1,1,1.0
de,Seguimiento,1,43,0.023255813953488372
Seguimiento,</s>,1,1,1.0
Y,hoy,1,10,0.1
hoy,me,1,2,0.5
me,dijo,1,24,0.041666666666666664
dijo,que,1,1,1.0
que,tampoco,1,96,0.010416666666666666
tampoco,</s>,1,1,1.0
Si,citlalli,1,69,0.014492753623188406
citlalli,pipipi,1,1,1.0
pero,lo,1,4,0.25
lo,peor,1,23,0.043478260869565216
peor,es,1,1,1.0
que,el,1,96,0.010416666666666666
el,otro,1,27,0.037037037037037035
otro,profe,1,1,1.0
profe,de,1,3,0.3333333333333333
seguimiento,no,1,3,0.3333333333333333
no,era,1,44,0.022727272727272728
era,que,1,2,0.5
que,estuviera,1,96,0.010416666666666666
estuviera,ocupado,1,2,0.5
<s>,JAJAJJAJA,1,396,0.0025252525252525255
JAJAJJAJA,</s>,1,1,1.0
<s>,solo,1,396,0.0025252525252525255
